ResourceGroup,AppServiceName,AppServicePlan,OS,SKU,Stack,State,Location,DefaultDomain,AvgCPU(%),AvgMemory(MB)
csnacms,bookqr,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,bookqr.azurewebsites.net,0.73,28.28
IPSS,IPSSApp,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,ipssapp.azurewebsites.net,0,0
RTEShowCase,rteshowcaseapp,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,rteshowcaseapp.azurewebsites.net,0,0
CSNADashboard,QontangoMailMerge,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,qontangomailmerge.azurewebsites.net,0,0
DigitalToken,digitaltoken,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,digitaltoken.azurewebsites.net,0.74,24.38
Qontango,Qantagoapi-dev,FreeAppServicePlan,Windows,S1,.NET 6.0,Running,Central US,qantagoapi-dev.azurewebsites.net,1.79,62.97
IPSS,IPSSAPI,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,ipssapi.azurewebsites.net,0,0
IPSS_DEV,ipssdevapi,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,ipssdevapi.azurewebsites.net,0,0
Qontango,Qontango,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,qontango.azurewebsites.net,0.12,0.18
CSNA_Products,digitaltokencsna,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,digitaltokencsna.azurewebsites.net,0.51,9.67
CSNADashboard,idsign,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,idsign.azurewebsites.net,0.77,24.71
MoultrieFeeder,moultriefeederportal,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,moultriefeederportal.azurewebsites.net,0.62,10.66
citris,devcitrisapi,FreeAppServicePlan,Windows,S1,.NET 6.0,Stopped,Central US,devcitrisapi.azurewebsites.net,0.51,8.66
DigitalToken,digitaltoken-display,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,digitaltoken-display.azurewebsites.net,0.78,24.36
RG-CSNADemos,csnaqms,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,csnaqms.azurewebsites.net,0.78,24.82
HeartFinder_ResourceGroup,HeartFinderPortal,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,heartfinderportal.azurewebsites.net,0,0
CSNA_Products,rtecsna,FreeAppServicePlan,Windows,S1,.NET 5.0,Stopped,Central US,rtecsna.azurewebsites.net,0,0
KysekSML,moultriefeedersapi,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,moultriefeedersapi.azurewebsites.net,0.56,10.21
Qontango,devqontangoportal,FreeAppServicePlan,Windows,S1,.NET 6.0,Running,Central US,devqontangoportal.azurewebsites.net,1.08,23.88
RTEProductRecommender,RTEProductRecommender,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,rteproductrecommender.azurewebsites.net,0,0
CampBowWow,ibeacongateway,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,ibeacongateway.azurewebsites.net,0.52,9.91
DigitalToken,digitaltokenassistantapi,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,digitaltokenassistantapi.azurewebsites.net,0.62,16.73
csnacms,bookqrportal,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,bookqrportal.azurewebsites.net,0.75,24.83
DigitalToken,digitaltoken-teller,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,digitaltoken-teller.azurewebsites.net,0.75,24.39
CSNA_Products,CMSCSNA,FreeAppServicePlan,Windows,S1,.NET 5.0,Stopped,Central US,cmscsna.azurewebsites.net,0,0
RSG-SIMPELLO-DEV,dev-simpello-htng-api,free,Windows,F1,.NET 6.0,Running,East US,dev-simpello-htng-api.azurewebsites.net,0,0
EMS-SafetyVerse,dev-safety-verse,dev-safety-verse,Windows,D1,.NET 8.0,Running,East US,dev-safety-verse.azurewebsites.net,0.01,0.27
SynapticFlow-Dev,synapticflow-backend-dev,dev-apps-plan,Windows,F1,.NET 8.0,Running,East US,synapticflow-backend-dev-f5b2dcgya7cuaxbq.eastus-01.azurewebsites.net,2.85,101.92
RG-CSNADemos,demo-csnainc,Default1,Windows,F1,.NET 6.0,Running,East US,demo-csnainc.azurewebsites.net,0,0
RG-CSNADemos,pbiz,Default1,Windows,F1,.NET Framework 4.0,Running,East US,pbiz.azurewebsites.net,0,0
QonTango-Dev,QontangoTest-Api,QontangoTest,Windows,D1,.NET 8.0,Running,East US,qontangotest-api.azurewebsites.net,0,0.06
QonTango-Dev,QontangoTest-fe,QontangoTest,Windows,D1,.NET 8.0,Running,East US,qontangotest-fe.azurewebsites.net,0,0
Chips-Dev,chipspwa-dev-fe,Chips-Dev,Windows,F1,.NET Framework 4.0,Running,East US,chipspwa-dev-fe.azurewebsites.net,0.26,11.92
Chips-Dev,Chips-PWAApi-Dev,Chips-Dev,Windows,F1,.NET 8.0,Running,East US,chips-pwaapi-dev.azurewebsites.net,0.04,0.2
